場名,場コード,開催日,レース,枠,登録番号,級別,氏名,F数,L数,平均ST,全国勝率,全国2連率,全国3連率,当地勝率,当地2連率,当地3連率,支部,出身,年齢,締切時刻
平和島,04,20260620,4R,6,3661,B1,柳瀬　　興志,0,0,0.16,5.26,29.55,51.14,4.57,28.57,42.86,山口,山口,56,13:25
平和島,04,20260620,5R,1,3747,B1,國崎　　良春,0,0,0.17,5.26,36.78,55.17,5.65,41.18,52.94,福岡,福岡,51,13:55
平和島,04,20260620,5R,2,4424,A2,松尾　　昂明,0,0,0.16,5.71,38.28,57.81,6.03,44.44,58.33,福岡,福岡,41,13:55
平和島,04,20260620,5R,3,4315,B1,山崎　　昂介,0,0,0.19,4.96,32.22,38.89,5.35,29.41,52.94,長崎,長崎,42,13:55
平和島,04,20260620,5R,4,3642,B1,大塚　　浩二,0,0,0.17,4.27,16.13,35.48,3.58,15.79,26.32,静岡,静岡,54,13:55
平和島,04,20260620,5R,5,5226,A2,藤田　　俊祐,0,0,0.15,6.14,44.44,69.44,5.63,45.83,50.00,東京,東京,24,13:55
平和島,04,20260620,5R,6,4335,A1,若林　　　将,0,0,0.12,7.20,52.88,77.88,6.64,49.09,63.64,東京,千葉,42,13:55
平和島,04,20260620,6R,1,4034,B1,西原　　明生,0,0,0.18,3.49,13.95,22.09,0.00,0.00,0.00,香川,愛媛,47,14:28
平和島,04,20260620,6R,2,3939,B2,渡辺　　真至,0,0,0.14,5.29,47.06,52.94,6.00,28.57,71.43,愛知,愛知,48,14:28
平和島,04,20260620,6R,3,3226,B1,浦田　　信義,0,0,0.18,4.40,21.92,41.10,5.09,30.30,51.52,東京,東京,60,14:28
平和島,04,20260620,6R,4,4234,B1,野相　　弘司,0,0,0.17,5.01,30.26,46.05,5.41,41.18,58.82,福岡,福岡,42,14:28
平和島,04,20260620,6R,5,4588,A2,田中　　京介,0,0,0.15,5.48,37.61,55.56,6.65,50.00,65.38,福岡,福岡,35,14:28
